City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,huarmey,-10.0681,-78.1522,23.64,70,45,6.41,PE,1689102835
85,laiya,13.675,121.3903,26.16,88,100,2.73,PH,1689102835
86,poum,-20.2333,164.0167,21.32,64,83,5.77,NC,1689102836
87,oyama,36.3,139.8,29.21,88,7,0.82,JP,1689102836
88,mehamn,71.0357,27.8492,23.95,72,0,0.0,NO,1689102837
89,provideniya,64.3833,-173.3,10.9,77,100,3.15,RU,1689102837
90,tonj,7.2737,28.6822,24.05,70,100,2.74,SS,1689102837
91,maniitsoq,65.4167,-52.9,6.15,99,100,1.87,GL,1689102838
92,prince george,53.9166,-122.753,21.69,52,100,3.09,CA,1689102405
93,norman wells,65.282,-126.8329,25.02,50,100,4.12,CA,1689102840
94,tumaco,1.7986,-78.8156,28.5,76,91,3.15,CO,1689102840
95,sur,22.5667,59.5289,30.7,63,5,6.69,OM,1689102546
96,pilar,-9.5972,-35.9567,25.96,83,15,3.55,BR,1689102841
97,ostrovnoy,68.0531,39.5131,13.85,73,0,3.58,RU,1689102842
98,lakewood,39.7047,-105.0814,35.3,16,0,5.36,US,1689102601
99,hithadhoo,-0.6,73.0833,27.51,71,81,1.75,MV,1689102843
100,kirgiz-miyaki,53.6324,54.7979,29.77,23,98,4.47,RU,1689102843
101,traverse city,44.7631,-85.6206,22.77,50,40,4.63,US,1689102651
102,arraial do cabo,-22.9661,-42.0278,27.98,73,75,3.09,BR,1689102845
103,phangnga,8.4509,98.5298,27.02,94,66,1.24,TH,1689102845
104,bredasdorp,-34.5322,20.0403,7.88,77,0,1.27,ZA,1689102846
105,georgetown,5.4112,100.3354,26.96,85,20,0.0,MY,1689102743
106,klin,56.3333,36.7333,10.42,77,47,2.89,RU,1689102847
107,zhigalovo,54.8097,105.1578,14.72,94,22,1.43,RU,1689102847
108,saint-philippe,-21.3585,55.7679,20.77,76,49,1.66,RE,1689102848
109,talnakh,69.4865,88.3972,7.87,80,100,4.08,RU,1689102849
110,sitka,57.0531,-135.33,12.94,62,100,2.06,US,1689102849
111,yaring,6.8662,101.3689,25.63,88,100,1.86,TH,1689102851
112,khatanga,71.9667,102.5,7.8,67,21,4.96,RU,1689102851
113,yoichi,43.2039,140.7703,20.85,93,100,2.59,JP,1689102852
114,kahului,20.8947,-156.47,29.01,64,20,9.77,US,1689102852
115,alofi,-19.0595,-169.9187,22.94,94,63,1.54,NU,1689102853
116,araouane,18.9048,-3.5265,40.63,13,18,3.43,ML,1689102853
117,yar-sale,66.8333,70.8333,8.32,72,7,2.97,RU,1689102854
118,vaitape,-16.5167,-151.75,26.37,75,3,9.46,PF,1689102854
119,tiksi,71.6872,128.8694,3.25,92,100,2.46,RU,1689102855
120,guider,9.9342,13.9486,28.93,58,79,1.62,CM,1689102855
121,zhangye,38.9342,100.4517,16.14,84,100,2.24,CN,1689102855
122,tiznit,29.5833,-9.5,33.52,25,0,2.05,MA,1689102856
123,longyearbyen,78.2186,15.6401,6.91,81,75,6.17,SJ,1689102857
124,whitehorse,60.7161,-135.0538,16.43,51,75,3.6,CA,1689102687
125,coquimbo,-29.9533,-71.3436,17.85,59,20,7.2,CL,1689102797
126,cabo san lucas,22.8909,-109.9124,33.61,70,20,0.0,MX,1689102858
127,riyadh,24.6877,46.7219,37.08,8,11,3.94,SA,1689102859
128,den helder,52.9599,4.7593,21.09,83,75,5.81,NL,1689102859
129,umtata,-31.5889,28.7844,6.31,81,5,1.03,ZA,1689102860
130,bengkulu,-3.8004,102.2655,24.06,91,94,1.59,ID,1689102860
131,husavik,66.0449,-17.3389,6.27,80,96,3.79,IS,1689102861
132,constantine,36.365,6.6147,33.67,25,40,6.17,DZ,1689102625
133,makueni,-1.8041,37.6203,18.83,69,85,3.42,KE,1689102862
134,saint-augustin,51.226,-58.6502,22.47,64,34,3.25,CA,1689102862
135,deputatskiy,69.3,139.9,15.02,61,18,1.86,RU,1689102863
136,kutum,14.2,24.6667,20.48,67,100,7.35,SD,1689102864
137,severo-kurilsk,50.6789,156.125,9.99,87,51,2.74,RU,1689102864
138,wasilla,61.5814,-149.4394,16.28,79,100,0.0,US,1689102865
139,plettenberg bay,-34.0527,23.3716,11.36,69,0,1.18,ZA,1689102865
140,solnechnyy,50.7214,136.6319,15.39,54,98,2.02,RU,1689102866
141,placido de castro,-10.3353,-67.1856,35.87,28,0,1.69,BR,1689102866
142,hobyo,5.3505,48.5268,25.23,87,65,12.6,SO,1689102867
143,basco,20.4487,121.9702,29.33,76,10,6.5,PH,1689102867
144,vila velha,-20.3297,-40.2925,27.19,77,0,4.12,BR,1689102831
145,chibuto,-24.6867,33.5306,16.31,70,93,3.14,MZ,1689102868
146,urumqi,43.801,87.6005,21.53,40,0,2.0,CN,1689102869
147,havoysund,70.9963,24.6622,16.13,70,52,2.83,NO,1689102869
148,ribeira grande,38.5167,-28.7,21.54,100,75,4.92,PT,1689102870
149,udalguri,26.7667,92.1333,25.67,94,100,3.84,IN,1689102870
150,chuy,-33.6971,-53.4616,11.46,66,100,4.75,UY,1689102871
151,cacequi,-29.8836,-54.825,15.34,80,100,7.14,BR,1689102871
152,wonthaggi,-38.6044,145.5913,9.9,83,100,4.89,AU,1689102872
153,panzhihua,26.5851,101.7128,24.55,79,100,1.53,CN,1689102873
154,bandarbeyla,9.4942,50.8122,24.36,84,52,13.67,SO,1689102874
155,awbari,26.5921,12.7805,31.88,16,0,5.36,LY,1689102874
156,avarua,-21.2078,-159.775,26.03,83,75,6.17,CK,1689102874
157,bibiani,6.4635,-2.3194,22.73,98,91,1.33,GH,1689102875
158,ponta do sol,32.6667,-17.1,25.4,82,0,1.89,PT,1689102876
159,kuito,-12.3833,16.9333,10.07,29,0,1.75,AO,1689102876
160,mkushi,-13.6202,29.3939,14.24,59,0,5.95,ZM,1689102877
161,honningsvag,70.9821,25.9704,15.86,67,0,1.03,NO,1689102877
162,pajapan,18.25,-94.7,28.09,68,18,4.24,MX,1689102878
163,constitucion,-35.3333,-72.4167,11.76,91,100,3.55,CL,1689102878
164,zyryanovsk,49.7386,84.2719,14.07,67,27,1.02,KZ,1689102879
165,corum,40.5,34.75,15.28,63,0,1.95,TR,1689102879
166,ust-kulom,61.6864,53.6902,13.12,89,99,4.69,RU,1689102880
167,darab,28.7519,54.5444,32.85,13,0,2.47,IR,1689102880
168,cervo,43.6702,-7.4101,21.09,81,100,6.24,ES,1689102881
169,diamantino,-14.4086,-56.4461,35.57,17,0,2.72,BR,1689102881
170,perth,-31.9333,115.8333,15.66,86,75,4.12,AU,1689102160
171,freeport,40.6576,-73.5832,33.5,47,20,6.17,US,1689102635
172,lagoa,39.05,-27.9833,20.01,93,100,8.51,PT,1689102882
173,onega,63.9061,38.1404,11.41,73,85,3.27,RU,1689102883
174,souillac,-20.5167,57.5167,21.21,78,40,1.54,MU,1689102883
175,okha,53.5739,142.9478,9.65,90,6,3.43,RU,1689102884
176,cap malheureux,-19.9842,57.6142,21.93,71,16,3.57,MU,1689102884
177,kasongo-lunda,-6.4667,16.8167,23.9,34,5,1.0,CD,1689102885
178,chicama,-7.8447,-79.1469,22.3,62,16,5.43,PE,1689102885
179,cockburn town,21.4612,-71.1419,28.73,82,97,8.56,TC,1689102886
180,victoria,22.2855,114.1577,30.67,81,3,4.47,HK,1689102764
181,dongying,37.4564,118.4856,27.26,68,100,3.54,CN,1689102887
182,alice springs,-23.7,133.8833,2.75,93,0,3.1,AU,1689102887
183,hervey bay,-25.2986,152.8535,16.54,71,90,3.23,AU,1689102888
184,narbonne,43.0833,2.8333,25.69,77,100,2.37,FR,1689102888
185,muros,42.7762,-9.0603,22.05,85,100,1.24,ES,1689102889
186,ayan,56.45,138.1667,13.47,72,6,1.93,RU,1689102889
187,coos bay,43.3665,-124.2179,24.07,68,0,5.66,US,1689102652
188,les cayes,18.2,-73.75,31.83,61,68,4.59,HT,1689102890
189,usinsk,65.9939,57.5281,10.56,73,100,4.96,RU,1689102896
190,antofagasta,-23.65,-70.4,17.6,66,100,2.87,CL,1689102741
191,bassano,50.7834,-112.4685,19.24,59,97,3.35,CA,1689102613
192,rocha,-34.4833,-54.3333,10.76,60,17,4.78,UY,1689102897
193,finsterwalde,51.6333,13.7167,29.81,44,6,3.44,DE,1689102897
194,yala,6.3333,101.25,23.54,96,100,1.11,TH,1689102898
195,te anau,-45.4167,167.7167,2.56,83,31,2.29,NZ,1689102898
196,kant,27.8,79.8,32.0,66,87,2.39,IN,1689102899
197,catuday,16.2923,119.8062,27.22,76,100,2.28,PH,1689102899
198,adre,13.4667,22.2,29.53,47,100,3.16,TD,1689102900
199,marawi,7.9986,124.2928,20.83,96,99,2.17,PH,1689102900
200,bowen,-20.0167,148.2333,20.31,71,95,5.48,AU,1689102901
201,bolobo,-2.1667,16.2333,28.36,47,97,1.39,CD,1689102901
202,coihaique,-45.5752,-72.0662,1.34,74,100,0.0,CL,1689102902
203,andenes,69.3143,16.1194,15.52,82,0,2.57,NO,1689102903
204,mbarara,-0.608,30.65,19.89,60,33,0.37,UG,1689102903
205,chizhou,30.6578,117.4831,26.95,77,84,1.23,CN,1689102904
206,wuwei,37.9281,102.6414,18.48,71,100,3.02,CN,1689102906
207,celendin,-6.8703,-78.1517,23.29,34,0,1.99,PE,1689102906
208,ciudad bolivar,8.1222,-63.5497,33.85,48,72,2.54,VE,1689102907
209,mulege,26.8833,-111.9833,35.37,42,17,4.68,MX,1689102907
210,clyde river,70.4692,-68.5914,5.13,87,0,6.69,CA,1689102908
211,sanchi,23.4833,77.7333,23.62,90,26,3.28,IN,1689102909
212,masallatah,32.6167,14.0,24.68,70,0,3.99,LY,1689102909
213,biggar,55.6167,-3.5167,16.5,81,85,5.81,GB,1689102910
214,pochutla,15.7432,-96.4661,32.68,60,20,3.18,MX,1689102911
215,bathsheba,13.2167,-59.5167,29.34,84,40,4.12,BB,1689102911
216,igunga,-4.2833,33.8833,23.22,38,22,2.68,TZ,1689102912
217,tura,25.5198,90.2201,23.88,98,100,3.29,IN,1689102912
218,izberbash,42.5696,47.8645,23.03,61,37,2.81,RU,1689102913
219,comodoro rivadavia,-45.8667,-67.5,4.92,65,20,4.12,AR,1689102912
220,mulanje,-16.0316,35.5,11.97,88,31,3.28,MW,1689102914
221,wanning,18.8003,110.3967,27.13,88,0,3.65,CN,1689102914
222,novopskov,49.5464,39.0899,14.22,90,12,2.99,UA,1689102915
223,yerofey pavlovich,53.9667,121.9667,13.23,59,13,1.19,RU,1689102915
224,codrington,-38.2667,141.9667,8.78,87,0,5.62,AU,1689102916
225,isangel,-19.55,169.2667,21.21,67,90,6.82,VU,1689102916
226,embu-guacu,-23.8534,-46.8396,26.4,58,58,1.48,BR,1689102917
227,srednekolymsk,67.45,153.6833,11.62,59,100,3.85,RU,1689102918
228,carutapera,-1.195,-46.02,28.49,71,3,3.61,BR,1689102918
229,gawler,-34.6,138.7333,9.58,86,0,2.48,AU,1689102919
230,mount isa,-20.7333,139.5,10.87,71,0,3.09,AU,1689102919
231,havelock,34.8791,-76.9013,32.21,62,75,3.09,US,1689102920
232,luganville,-15.5333,167.1667,22.73,67,91,4.78,VU,1689102920
233,roswell,34.0232,-84.3616,32.46,50,0,3.6,US,1689102700
234,waharoa,-37.7667,175.7667,10.96,88,100,1.93,NZ,1689102923
235,baraboo,43.4711,-89.7443,27.5,31,0,3.6,US,1689102924
236,abensberg,48.8167,11.85,31.98,56,22,1.49,DE,1689102924
237,batticaloa,7.7102,81.6924,27.49,79,100,2.29,LK,1689102925
238,sorland,67.667,12.6934,14.92,86,84,5.99,NO,1689102926
239,bay saint louis,30.3088,-89.33,33.92,62,40,1.79,US,1689102926
240,chokurdakh,70.6333,147.9167,12.54,57,93,6.37,RU,1689102926
241,jamestown,42.097,-79.2353,28.34,45,40,7.2,US,1689102846
242,prince rupert,54.3161,-130.3201,14.05,79,75,3.6,CA,1689102928
243,radcliff,37.8404,-85.9491,30.54,47,20,3.6,US,1689102929
244,kuldiga,56.974,21.9572,16.83,64,7,2.41,LV,1689102929
245,sturgis,41.7992,-85.4192,31.07,48,0,6.36,US,1689102930
246,maraa,-1.8333,-65.3667,30.75,56,100,1.3,BR,1689102931
247,obo,5.3998,26.4869,21.45,83,90,0.54,CF,1689102931
248,maltahohe,-24.8333,16.9833,9.12,30,5,8.56,NA,1689102932
249,shenjiamen,29.9576,122.298,25.08,93,100,10.47,CN,1689102932
250,yenagoa,4.9247,6.2642,24.31,93,100,1.8,NG,1689102933
251,lorengau,-2.0226,147.2712,27.22,80,73,3.2,PG,1689102933
252,hofn,64.2539,-15.2082,9.0,76,95,3.4,IS,1689102934
253,saskylakh,71.9167,114.0833,11.58,62,100,1.65,RU,1689102934
254,dikson,73.5069,80.5464,-0.19,92,100,9.92,RU,1689102935
255,ratnagiri,16.9833,73.3,26.18,86,100,2.32,IN,1689102936
256,mar del plata,-38.0023,-57.5575,9.49,75,100,4.92,AR,1689102773
257,kayes,14.0,-11.0,31.8,53,100,2.37,ML,1689102937
258,nishihara,26.1842,127.7558,27.81,95,40,5.66,JP,1689102937
259,bereda,43.2686,-7.5406,21.99,68,100,2.25,ES,1689102937
260,peniche,39.3558,-9.3811,22.82,82,6,6.25,PT,1689102938
261,leningradskiy,69.3833,178.4167,6.82,78,40,3.56,RU,1689102938
262,necochea,-38.5473,-58.7368,8.27,64,100,3.93,AR,1689102939
263,miracema do tocantins,-9.5618,-48.3967,36.58,24,44,1.53,BR,1689102939
264,abapo,-18.8333,-63.4667,32.64,31,38,1.63,BO,1689102940
265,matamoros,25.5333,-103.25,35.06,32,20,1.54,MX,1689102941
266,lakatoro,-16.0999,167.4164,21.58,71,31,5.92,VU,1689102941
267,beloha,-25.1667,45.05,18.44,74,97,5.46,MG,1689102941
268,tazovskiy,67.4667,78.7,6.72,75,4,7.28,RU,1689102942
269,sao gabriel da cachoeira,-0.1303,-67.0892,29.88,63,78,1.47,BR,1689102748
270,cairns,-16.9167,145.7667,21.97,83,100,4.63,AU,1689102943
271,dickinson,29.4608,-95.0513,38.34,64,40,5.14,US,1689102869
272,dieppe,49.75,1.1667,21.85,73,100,2.87,FR,1689102944
273,nemuro,43.3236,145.575,14.42,100,100,0.36,JP,1689102944
274,adrar,20.5022,-10.0711,37.7,22,7,5.47,MR,1689102945
275,olafsvik,64.8945,-23.7142,12.83,60,11,4.69,IS,1689102946
276,suhut,38.5311,30.5458,18.36,52,0,3.14,TR,1689102946
277,mtambile,-5.3833,39.7,25.12,80,78,6.11,TZ,1689102947
